event_id,cluster_id,cluster_name,title,category_type,year
E0120,0,AI Monitoring & Decision-Support Errors,AI Recommendation Leads to Incorrect Maintenance Action,Incident,2024
E0121,0,AI Monitoring & Decision-Support Errors,AI Alarm False‑Positive Triggers Unnecessary Equipment Shutdown,Incident,2024
E0122,0,AI Monitoring & Decision-Support Errors,AI-Controlled System Rejects Operator Override Command,Incident,2024
E0123,0,AI Monitoring & Decision-Support Errors,AI System Fails to Detect Critical Equipment Fault,Incident,2024
E0124,0,AI Monitoring & Decision-Support Errors,AI Monitoring System Misses Degradation Due to Model Drift,Incident,2024
E0125,0,AI Monitoring & Decision-Support Errors,AI System Prioritizes Minor Alert Over Critical Alarm,Incident,2024
E0126,0,AI Monitoring & Decision-Support Errors,AI System Misdiagnoses Vibration Fault as Flow Instability,Incident,2024
E0127,0,AI Monitoring & Decision-Support Errors,AI Recommendations Create Escalating Control Feedback Loop,Incident,2024
E0128,0,AI Monitoring & Decision-Support Errors,AI Advisory Prompts Misinterpreted by Contractor Crew,Incident,2024
E0129,0,AI Monitoring & Decision-Support Errors,AI System Applies Incorrect Setpoint Adjustment to Control Loop,Incident,2024
E0130,0,AI Monitoring & Decision-Support Errors,AI Data-Sharing Error Causes Cross‑Unit Miscommunication,Incident,2024
E0131,0,AI Monitoring & Decision-Support Errors,AI Control Override Fails to Disengage During Manual Intervention,Incident,2024
E0132,0,AI Monitoring & Decision-Support Errors,AI Misroutes Data Between Systems Causing Wrong Actions,Incident,2024
E0133,0,AI Monitoring & Decision-Support Errors,AI Sensor-Fusion Disagreement Causes Incorrect Process Response,Incident,2024
E0134,0,AI Monitoring & Decision-Support Errors,AI Workflow Escalation Loop Causes Repeated Task Reassignment,Incident,2024
E0135,0,AI Monitoring & Decision-Support Errors,AI Seasonal Drift Triggers Repeated False Pressure Alerts,Incident,2024
E0136,0,AI Monitoring & Decision-Support Errors,AI Multi‑Layer Consensus Breakdown Causes Conflicting Operational Decisions,Incident,2024
E0137,0,AI Monitoring & Decision-Support Errors,AI-Human Timing Mismatch Causes Delayed Process Correction,Incident,2024
E0138,0,AI Monitoring & Decision-Support Errors,AI Task-Tagging Error Routes Work to Wrong Equipment,Incident,2024
E0139,0,AI Monitoring & Decision-Support Errors,AI Report Automation Sends Critical Data to Wrong Distribution Group,Incident,2024
